source_id,area1,area2,action,location,site,plot,survival,log_size,log_size_next,id,transition,repro,flower_n,flower_n_int
M08_69_2022,0,1.11,born,Maguey,8,69,NA,NA,0.10436001532424286,1,t2,NA,NA,NA
M08_69_2022,0,2.01,born,Maguey,8,69,NA,NA,0.6981347220709843,2,t2,NA,NA,NA
M08_69_2022,0,1.51,born,Maguey,8,69,NA,NA,0.412109650826833,3,t2,NA,NA,NA
M08_69_2022,0,2.92,born,Maguey,8,69,NA,NA,1.0715836162801904,4,t2,NA,NA,NA
M08_69_2022,0,2.82,born,Maguey,8,69,NA,NA,1.0367368849500223,5,t2,NA,NA,NA
M08_69_2022,0,2.54,born,Maguey,8,69,NA,NA,0.9321640810304452,6,t2,NA,NA,NA
M08_69_2022,0,2.26,born,Maguey,8,69,NA,NA,0.8153648132841944,7,t2,NA,NA,NA
M08_69_2022,0,2.93,born,Maguey,8,69,NA,NA,1.075002423028976,8,t2,NA,NA,NA
M08_69_2022,0,2.22,born,Maguey,8,69,NA,NA,0.7975071958841882,9,t2,NA,NA,NA
M08_69_2022,0,2.32,born,Maguey,8,69,NA,NA,0.8415671856782185,10,t2,NA,NA,NA
M08_69_2022,14.43,0,dead,Maguey,8,69,0,2.6693093727857793,NA,11,t2,0,0,0
M08_69_2022,7.86,0,dead,Maguey,8,69,0,2.0617866064411152,NA,12,t2,0,0,0
M08_69_2022,63.29,0,dead,Maguey,8,69,0,4.147727338787214,NA,13,t2,0,0,0
M08_69_2022,93.13,0,dead,Maguey,8,69,0,4.533996366533566,NA,14,t2,0,0,0
M08_69_2022,98.91,0,dead,Maguey,8,69,0,4.594210345751749,NA,15,t2,0,0,0
M08_69_2022,11.7,0,dead,Maguey,8,69,0,2.4595888418037104,NA,16,t2,0,0,0
M08_69_2022,72.3,0,dead,Maguey,8,69,0,4.280824129164719,NA,17,t2,0,0,0
M08_69_2022,8.26,0,dead,Maguey,8,69,0,2.1114245875328868,NA,18,t2,0,0,0
M08_69_2022,43.56,0,dead,Maguey,8,69,0,3.77413929806476,NA,19,t2,0,0,0
