source_id,site,plot,area1,action,location,area2,transition,survival,log_size,log_size_next,id,repro,flower_n,flower_n_int,cytes_per_polyp,polyps_per_cm2,seeds_exp,seeds_pois,totaloocytes
M08_69_2021,8,69,23.96,n/s,Maguey,34.60144329896907,t1,1,3.1763857732472487,3.543895395036717,1,0,0,0,1.5729215920442956,18.129066485540136,0,0,0
M08_69_2021,8,69,49.64,n/s,Maguey,41.82072164948453,t1,1,3.9047969603364066,3.733391949936838,2,0,0,0,0.745365765070673,19,0,0,0
M08_69_2021,8,69,41.45,n/s,Maguey,48.49412371134021,t1,1,3.724487881581304,3.8814426300119766,3,0,0,0,0.5272773162496583,17.50099691973034,0,0,0
M08_69_2021,8,69,45.82,n/s,Maguey,59.19329896907217,t1,1,3.8247206770253497,4.080808342393142,4,0,0,0,0.7853648102578717,18.842163203599803,0,0,0
M08_69_2021,8,69,73.53,n/s,Maguey,91.30587628865979,t1,1,4.297693486208131,4.514215147946617,5,0,0,0,0.9382512139570666,17,0,0,0
M08_70_2021,8,70,36.77,n/s,Maguey,44.649484536082475,t1,1,3.6046822953131805,3.798842762711244,6,0,0,0,1.9051582398321991,17,0,0,0
M08_71_2021,8,71,9.600000000000001,n/s,Maguey,10.736391752577319,t1,1,2.2617630984737906,2.373639069185179,7,0,0,0,0.7856592261716069,19,0,0,0
M08_71_2021,8,71,85.35,n/s,Maguey,93.8917525773196,t1,1,4.4467604492404496,4.542142550379336,8,0,0,0,1.1260571626381863,17,0,0,0
M10_81_2021,10,81,0.74,n/s,Maguey,1.9223943661971832,t1,1,-0.3011050927839216,0.6535714748267887,9,0,0,0,0.8344154260481725,17,0,0,0
M12_54_2021,12,54,28.39,n/s,Maguey,43.42649484536082,t1,1,3.34603697048488,3.7710697351469133,10,0,0,0,0.3824852669628725,17,0,0,0
M15_64_2021,15,64,13.79,n/s,Maguey,23.21226804123711,t1,1,2.6239436918052106,3.1446809337904296,11,0,0,0,1.4990740146811894,17,0,0,0
M15_64_2021,15,64,24.229999999999997,n/s,Maguey,38.40855670103093,t1,1,3.1875915348284343,3.6482802655266098,12,0,0,0,1.1934545507108059,19,0,0,0
M15_64_2021,15,64,50.190000000000005,n/s,Maguey,51.42422680412371,t1,1,3.9158158036668422,3.9401094000176013,13,0,0,0,0.5148917932255689,17.08966956759166,0,0,0
M28_74_2021,28,74,157.48999999999998,n/s,Maguey,131.32288659793815,t1,1,5.059361964186489,4.877659073795537,14,1,1.6200936815900524,2,0.9905875078899999,18.533323926155585,1.8101348234337955,1,2
M28_76_2021,28,76,28.509999999999998,n/s,Maguey,35.6519587628866,t1,1,3.3502549029245805,3.5738040896114183,15,0,0,0,0.5390208678756039,17,0,0,0
M28_76_2021,28,76,186.66,n/s,Maguey,294.1957731958763,t1,1,5.2292887801376,5.6842454409529,16,1,1.6745071358563903,2,1.9380749289441184,17.71540179662451,4.012218804202104,2,4
M38_58_2021,38,58,11.379999999999999,grow,Maguey,25.0375117370892,t1,1,2.431857428698185,3.220375169772224,17,0,0,0,0.6038049049207427,19,0,0,0
M38_58_2021,38,58,69.22,grow,Maguey,70.0682394366197,t1,1,4.237289838207198,4.249469616287132,18,0,0,0,1.1337568400872786,17,0,0,0
M38_58_2021,38,58,24.32,grow,Maguey,64.47,t1,1,3.1912990570979662,4.1661999993225285,19,0,0,0,0.3537648526222781,17.495715494024555,0,0,0
M43_66_2021,43,66,45.980000000000004,grow,Maguey,57.67542253521127,t1,1,3.8282065193350356,4.0548311301744855,20,0,0,0,0.7791966331424803,17.487591915159406,0,0,0
M43_67_2021,43,67,15.83,grow,Maguey,34.73117370892019,t1,1,2.761906873892921,3.5476376614317022,21,0,0,0,1.8566326716601993,19,0,0,0
M43_67_2021,43,67,119.78,grow,Maguey,144.59314553990612,t1,1,4.785656726836316,4.973923905695898,22,1,1.5324486131430826,2,0.6272418688585126,19,0.8936855316252144,1,1
M43_68_2021,43,68,18.03,n/s,Maguey,21.2087558685446,t1,1,2.8920370372152258,3.05441410907891,23,0,0,0,0.7393735247877742,19,0,0,0
M43_68_2021,43,68,31.41,n/s,Maguey,42.35143192488263,t1,1,3.447126313550555,3.7460022322120015,24,0,0,0,0.407718195255966,17,0,0,0
M45_87_2021,45,87,151.36,grow,Maguey,163.44955399061033,t1,1,5.019661105303568,5.0965044044458505,25,1,1.6073807918847474,2,0.11696483085019838,17.81415192033975,0.19744372913249952,0,0
M45_88_2021,45,88,19.27,grow,Maguey,29.508849765258216,t1,1,2.958549482426275,3.38469021039981,26,0,0,0,1.5934762077850853,17.184927679434463,0,0,0
M48_52_2021,48,52,57.64,n/s,Maguey,64.94752577319588,t1,1,4.054216771131322,4.173579648059913,27,0,0,0,0.599317098748228,19,0,0,0
M74_95_2021,74,95,102.44,n/s,Maguey,115.58342723004695,t1,1,4.629277261331325,4.749992582898933,28,0,0,0,1.291987515583582,19,0,0,0
T04_08_2021,4,8,72.11,grow,Tampico,79.941220657277,t1,1,4.2781927309286685,4.381291622834811,29,0,0,0,0.6307902539663444,17,0,0,0
T04_08_2021,4,8,246.01,grow,Tampico,261.6981455399061,t1,1,5.505372185512662,5.567191723305055,30,1,1.7629137341203915,2,0.5171509256048854,17,1.3540377293170311,2,1
T20_10_2021,20,10,57.92,grow,Tampico,94.75415492957745,t1,1,4.059062748077461,4.551285694500585,31,0,0,0,1.0561318464140521,19,0,0,0
T20_10_2021,20,10,153.22,grow,Tampico,197.3455868544601,t1,1,5.031874797088675,5.284956439834298,32,1,1.6112918235583078,2,2.1832112235273695,17,3.5601796367690577,4,4
T20_11_2021,20,11,5.35,n/s,Tampico,9.95105633802817,t1,1,1.6770965609079151,2.297678710161383,33,0,0,0,0.5697151045070094,18.106824936575965,0,0,0
T20_11_2021,20,11,923.9000000000001,grow,Tampico,861.6015258215963,t1,1,6.828603840676699,6.758792896757041,34,1,2.186634997589214,2,0.2522216215834072,17,2.4800930718705976,1,2
T20_12_2021,20,12,17.66,n/s,Tampico,17.360117370892016,t1,1,2.8713021951758138,2.8541754702054325,35,0,0,0,0.26732456495413437,18.762575721722737,0,0,0
T22_34_2021,22,34,6.38,n/s,Tampico,8.073298969072166,t1,1,1.8531680973566984,2.088562192933182,36,0,0,0,0.058198318138077965,19,0,0,0
T22_34_2021,22,34,7.65,n/s,Tampico,32.10876288659794,t1,1,2.0347056478384444,3.469128980003197,37,0,0,0,1.2075785453692813,19,0,0,0
T22_35_2021,22,35,4.93,n/s,Tampico,6.691030927835051,t1,1,1.5953389880545987,1.9007679620938458,38,0,0,0,0.40490233641206136,18.283753190937055,0,0,0
T22_35_2021,22,35,67.21000000000001,grow,Tampico,79.79309278350516,t1,1,4.2078220459818745,4.379436944111845,39,0,0,0,0.9818867403875506,17,0,0,0
T23_45_2021,23,45,14.82,n/s,Tampico,14.835051546391753,t1,1,2.695977619867941,2.696992728383985,40,0,0,0,0.6121466706303775,17.3204359341644,0,0,0
T23_46_2021,23,46,33.160000000000004,n/s,Tampico,59.01103092783505,t1,1,3.501344330267094,4.077724391308525,41,0,0,0,0.20203552551161952,19,0,0,0
