basin,date,lat,lon,gear,sci_name,species,n
Pontchartrain,1992-01-09,29.6386,-89.5232,Otter trawl,Anchoa Mitchilli,Bay Anchovy,342
Pontchartrain,1992-01-09,29.6386,-89.5232,Otter trawl,Dorosoma Petenense,Threadfin Shad,4
Pontchartrain,1992-01-09,29.6386,-89.5232,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,630
Pontchartrain,1992-01-09,29.6386,-89.5232,Otter trawl,Sphoeroides Parvus,Least Puffer,1
Pontchartrain,1992-01-21,29.6386,-89.5232,Otter trawl,Anchoa Mitchilli,Bay Anchovy,1
Pontchartrain,1992-01-21,29.6386,-89.5232,Otter trawl,Palaemonetes Vulgaris,Grass Shrimp,1
Pontchartrain,1992-02-06,29.6386,-89.5232,Otter trawl,Anchoa Mitchilli,Bay Anchovy,990
Pontchartrain,1992-02-06,29.6386,-89.5232,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,308
Pontchartrain,1992-02-17,29.6386,-89.5232,Otter trawl,Anchoa Mitchilli,Bay Anchovy,1012
Pontchartrain,1992-02-17,29.6386,-89.5232,Otter trawl,Arius Felis,Sea Catfish,4
Pontchartrain,1992-02-17,29.6386,-89.5232,Otter trawl,Cynoscion Nebulosus,Spotted Seatrout,1
Pontchartrain,1992-02-17,29.6386,-89.5232,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,8
Pontchartrain,1992-02-17,29.6386,-89.5232,Otter trawl,Penaeus Aztecus,Brown Shrimp,1
Pontchartrain,1992-02-17,29.6386,-89.5232,Otter trawl,Penaeus Setiferus,White Shrimp,1
Pontchartrain,1992-02-17,29.6386,-89.5232,Otter trawl,Sphoeroides Parvus,Least Puffer,9
Pontchartrain,1992-03-06,29.6386,-89.5232,Otter trawl,Anchoa Mitchilli,Bay Anchovy,42
Pontchartrain,1992-03-06,29.6386,-89.5232,Otter trawl,Callinectes Sapidus,Blue Crab,216
Pontchartrain,1992-03-06,29.6386,-89.5232,Otter trawl,Dorosoma Cepedianum,Gizzard Shad,1
Pontchartrain,1992-03-06,29.6386,-89.5232,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,88
Pontchartrain,1992-03-06,29.6386,-89.5232,Otter trawl,Penaeus Aztecus,Brown Shrimp,1
Pontchartrain,1992-03-06,29.6386,-89.5232,Otter trawl,Penaeus Setiferus,White Shrimp,4
Pontchartrain,1992-03-06,29.6386,-89.5232,Otter trawl,Sphoeroides Parvus,Least Puffer,1
Pontchartrain,1992-03-13,29.6386,-89.5232,Otter trawl,Brevoortia Patronus,Gulf Menhaden,1
Pontchartrain,1992-03-24,29.6386,-89.5232,Otter trawl,Anchoa Mitchilli,Bay Anchovy,1078
Pontchartrain,1992-03-24,29.6386,-89.5232,Otter trawl,Brevoortia Patronus,Gulf Menhaden,1
Pontchartrain,1992-03-24,29.6386,-89.5232,Otter trawl,Micropogonias Undulatus,Atlantic Croaker,972
